"Step","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt5","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt5__MIN","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt5__MAX","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt5","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt5__MIN","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt5__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MAX"
"5","0","0","0","0","0","0","0","0","0","0","0","0"
"10","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"15","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"20","36.58536585365854","36.58536585365854","36.58536585365854","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"25","31.70731707317073","31.70731707317073","31.70731707317073","19.51219512195122","19.51219512195122","19.51219512195122","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"30","36.58536585365854","36.58536585365854","36.58536585365854","24.390243902439025","24.390243902439025","24.390243902439025","36.58536585365854","36.58536585365854","36.58536585365854","0","0","0"
"35","43.90243902439025","43.90243902439025","43.90243902439025","48.78048780487805","48.78048780487805","48.78048780487805","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"40","41.46341463414634","41.46341463414634","41.46341463414634","39.02439024390244","39.02439024390244","39.02439024390244","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"45","53.65853658536585","53.65853658536585","53.65853658536585","51.21951219512195","51.21951219512195","51.21951219512195","41.46341463414634","41.46341463414634","41.46341463414634","0","0","0"
"50","53.65853658536585","53.65853658536585","53.65853658536585","53.65853658536585","53.65853658536585","53.65853658536585","51.21951219512195","51.21951219512195","51.21951219512195","0","0","0"
"55","75.60975609756098","75.60975609756098","75.60975609756098","75.60975609756098","75.60975609756098","75.60975609756098","48.78048780487805","48.78048780487805","48.78048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"60","63.41463414634146","63.41463414634146","63.41463414634146","73.17073170731707","73.17073170731707","73.17073170731707","51.21951219512195","51.21951219512195","51.21951219512195","0","0","0"
