"Step","WC_lmax3_nv4_ns14 - train_loss","WC_lmax3_nv4_ns14 - train_loss__MIN","WC_lmax3_nv4_ns14 - train_loss__MAX","WC_lmax2_nv4_ns16 - train_loss","WC_lmax2_nv4_ns16 - train_loss__MIN","WC_lmax2_nv4_ns16 - train_loss__MAX","WC_lmax1_nv5_ns18 - train_loss","WC_lmax1_nv5_ns18 - train_loss__MIN","WC_lmax1_nv5_ns18 - train_loss__MAX","WC_lmax0_nv6_ns24 - train_loss","WC_lmax0_nv6_ns24 - train_loss__MIN","WC_lmax0_nv6_ns24 - train_loss__MAX"
"4","0.9437134152367002","0.9437134152367002","0.9437134152367002","0.9204740070161366","0.9204740070161366","0.9204740070161366","0.9315188271658761","0.9315188271658761","0.9315188271658761","0.995809827532087","0.995809827532087","0.995809827532087"
"5","0.9232641855875651","0.9232641855875651","0.9232641855875651","0.8750923701695034","0.8750923701695034","0.8750923701695034","0.8707712264288039","0.8707712264288039","0.8707712264288039","1.0018510364350819","1.0018510364350819","1.0018510364350819"
"6","0.905580338977632","0.905580338977632","0.905580338977632","0.8938343411400205","0.8938343411400205","0.8938343411400205","0.8992699214390346","0.8992699214390346","0.8992699214390346","0.9945492517380488","0.9945492517380488","0.9945492517380488"
"7","0.9111275445847284","0.9111275445847284","0.9111275445847284","0.8440038590204149","0.8440038590204149","0.8440038590204149","0.9285384586879185","0.9285384586879185","0.9285384586879185","1.0197332473028273","1.0197332473028273","1.0197332473028273"
"8","0.8154980795724052","0.8154980795724052","0.8154980795724052","0.8350045340401786","0.8350045340401786","0.8350045340401786","0.9128968375069755","0.9128968375069755","0.9128968375069755","0.9913140251522973","0.9913140251522973","0.9913140251522973"
"9","0.834370113554455","0.834370113554455","0.834370113554455","0.8696941194080171","0.8696941194080171","0.8696941194080171","0.8727494194394066","0.8727494194394066","0.8727494194394066","0.9980440593901134","0.9980440593901134","0.9980440593901134"
"10","0.8442822410946801","0.8442822410946801","0.8442822410946801","0.8040069398425874","0.8040069398425874","0.8040069398425874","0.872259775797526","0.872259775797526","0.872259775797526","0.9816141582670665","0.9816141582670665","0.9816141582670665"
"11","0.8395797184535435","0.8395797184535435","0.8395797184535435","0.8328545888264974","0.8328545888264974","0.8328545888264974","0.8743664877755302","0.8743664877755302","0.8743664877755302","0.9993643987746466","0.9993643987746466","0.9993643987746466"
"12","0.8115130833217076","0.8115130833217076","0.8115130833217076","0.7991238548642113","0.7991238548642113","0.7991238548642113","0.9080358232770648","0.9080358232770648","0.9080358232770648","0.9884031386602492","0.9884031386602492","0.9884031386602492"
"13","0.7960306803385416","0.7960306803385416","0.7960306803385416","0.817998795282273","0.817998795282273","0.817998795282273","0.8760561261858258","0.8760561261858258","0.8760561261858258","0.9891497294108073","0.9891497294108073","0.9891497294108073"
"14","0.7923614865257627","0.7923614865257627","0.7923614865257627","0.8027064005533854","0.8027064005533854","0.8027064005533854","0.8567258744012742","0.8567258744012742","0.8567258744012742","0.9836194174630302","0.9836194174630302","0.9836194174630302"
"15","0.7684360685802641","0.7684360685802641","0.7684360685802641","0.7607638041178385","0.7607638041178385","0.7607638041178385","0.8600000653948102","0.8600000653948102","0.8600000653948102","0.975316910516648","0.975316910516648","0.975316910516648"
"16","0.8082980201357887","0.8082980201357887","0.8082980201357887","0.7442577907017299","0.7442577907017299","0.7442577907017299","0.8285113743373326","0.8285113743373326","0.8285113743373326","1.0237658364432198","1.0237658364432198","1.0237658364432198"
"17","0.7852828616187686","0.7852828616187686","0.7852828616187686","0.7603433699834914","0.7603433699834914","0.7603433699834914","0.8596072424025762","0.8596072424025762","0.8596072424025762","1.0342590695335752","1.0342590695335752","1.0342590695335752"
"18","0.7884971073695591","0.7884971073695591","0.7884971073695591","0.8000755310058594","0.8000755310058594","0.8000755310058594","0.822449729556129","0.822449729556129","0.822449729556129","1.0273736317952473","1.0273736317952473","1.0273736317952473"
"19","0.7999309358142671","0.7999309358142671","0.7999309358142671","0.7727837335495722","0.7727837335495722","0.7727837335495722","0.8279827662876674","0.8279827662876674","0.8279827662876674","0.9613775525774274","0.9613775525774274","0.9613775525774274"
"20","0.8047915867396763","0.8047915867396763","0.8047915867396763","0.760818980989002","0.760818980989002","0.760818980989002","0.7921767461867559","0.7921767461867559","0.7921767461867559","0.9771630423409599","0.9771630423409599","0.9771630423409599"
"21","0.7795171283540272","0.7795171283540272","0.7795171283540272","0.7468189057849702","0.7468189057849702","0.7468189057849702","0.8129874638148716","0.8129874638148716","0.8129874638148716","1.0480710892450242","1.0480710892450242","1.0480710892450242"
"22","0.7575885227748326","0.7575885227748326","0.7575885227748326","0.7667824881417411","0.7667824881417411","0.7667824881417411","0.797362282162621","0.797362282162621","0.797362282162621","1.0232127961658297","1.0232127961658297","1.0232127961658297"
"23","0.7838761465890067","0.7838761465890067","0.7838761465890067","0.735441389537993","0.735441389537993","0.735441389537993","0.814198721022833","0.814198721022833","0.814198721022833","0.9759084610711961","0.9759084610711961","0.9759084610711961"
"24","0.7478175390334356","0.7478175390334356","0.7478175390334356","0.7601475488571894","0.7601475488571894","0.7601475488571894","0.8105106353759766","0.8105106353759766","0.8105106353759766","0.9837470281691778","0.9837470281691778","0.9837470281691778"
"25","0.7739842732747396","0.7739842732747396","0.7739842732747396","0.7528998511178153","0.7528998511178153","0.7528998511178153","0.779364994594029","0.779364994594029","0.779364994594029","0.9949903942289806","0.9949903942289806","0.9949903942289806"
"26","0.7220550264630999","0.7220550264630999","0.7220550264630999","0.7286784308297294","0.7286784308297294","0.7286784308297294","0.7595383780343192","0.7595383780343192","0.7595383780343192","1.001738048735119","1.001738048735119","1.001738048735119"
"27","0.7885253542945498","0.7885253542945498","0.7885253542945498","0.7190151214599609","0.7190151214599609","0.7190151214599609","0.7627060299827939","0.7627060299827939","0.7627060299827939","1.0678088778541202","1.0678088778541202","1.0678088778541202"
"28","0.736339841570173","0.736339841570173","0.736339841570173","0.763858885992141","0.763858885992141","0.763858885992141","0.7581642695835659","0.7581642695835659","0.7581642695835659","1.0023766472226097","1.0023766472226097","1.0023766472226097"
"29","0.7202133905319941","0.7202133905319941","0.7202133905319941","0.7221588861374628","0.7221588861374628","0.7221588861374628","0.815651121593657","0.815651121593657","0.815651121593657","1.0047276814778645","1.0047276814778645","1.0047276814778645"
"30","0.7250248136974516","0.7250248136974516","0.7250248136974516","0.7170963741484142","0.7170963741484142","0.7170963741484142","0.741225106375558","0.741225106375558","0.741225106375558","1.020092282976423","1.020092282976423","1.020092282976423"
"31","0.7298585800897508","0.7298585800897508","0.7298585800897508","0.724982670375279","0.724982670375279","0.724982670375279","0.7440103803362165","0.7440103803362165","0.7440103803362165","1.0135049365815663","1.0135049365815663","1.0135049365815663"
"32","0.7131585620698475","0.7131585620698475","0.7131585620698475","0.7338512057349795","0.7338512057349795","0.7338512057349795","0.7486839294433594","0.7486839294433594","0.7486839294433594","1.0184747605096727","1.0184747605096727","1.0184747605096727"
"33","0.7241512026105609","0.7241512026105609","0.7241512026105609","0.7130625134422666","0.7130625134422666","0.7130625134422666","0.7453989755539667","0.7453989755539667","0.7453989755539667","1.0177022843133836","1.0177022843133836","1.0177022843133836"
"34","0.6853372937157041","0.6853372937157041","0.6853372937157041","0.684456053234282","0.684456053234282","0.684456053234282","0.7086797441755023","0.7086797441755023","0.7086797441755023","0.9726890382312593","0.9726890382312593","0.9726890382312593"
"35","0.6575153441656203","0.6575153441656203","0.6575153441656203","0.6779982248942057","0.6779982248942057","0.6779982248942057","0.7507986341203962","0.7507986341203962","0.7507986341203962","1.0256910778227306","1.0256910778227306","1.0256910778227306"
"36","0.6963570458548409","0.6963570458548409","0.6963570458548409","0.7015206927344912","0.7015206927344912","0.7015206927344912","0.7415502184913272","0.7415502184913272","0.7415502184913272","0.9831981658935547","0.9831981658935547","0.9831981658935547"
"37","0.6932983852568126","0.6932983852568126","0.6932983852568126","0.6853448776971727","0.6853448776971727","0.6853448776971727","0.7238350822812035","0.7238350822812035","0.7238350822812035","1.017164048694429","1.017164048694429","1.017164048694429"
"38","0.674447150457473","0.674447150457473","0.674447150457473","0.7022948946271624","0.7022948946271624","0.7022948946271624","0.7163607279459635","0.7163607279459635","0.7163607279459635","0.976802008492606","0.976802008492606","0.976802008492606"
"39","0.6512123289562407","0.6512123289562407","0.6512123289562407","0.6867079961867559","0.6867079961867559","0.6867079961867559","0.7460784457978749","0.7460784457978749","0.7460784457978749","1.0083520980108351","1.0083520980108351","1.0083520980108351"
"40","0.6730120976765951","0.6730120976765951","0.6730120976765951","0.7168670381818499","0.7168670381818499","0.7168670381818499","0.7012711933680943","0.7012711933680943","0.7012711933680943","0.971537362961542","0.971537362961542","0.971537362961542"
"41","0.7215394065493629","0.7215394065493629","0.7215394065493629","0.676713262285505","0.676713262285505","0.676713262285505","0.7199246542794364","0.7199246542794364","0.7199246542794364","1.0099080403645833","1.0099080403645833","1.0099080403645833"
