"Step","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MIN","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MAX","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MIN","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MAX"
"475","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"480","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"485","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"490","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","21.951219512195124","21.951219512195124","21.951219512195124"
"495","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"500","","","","92.6829268292683","92.6829268292683","92.6829268292683","97.5609756097561","97.5609756097561","97.5609756097561","4.878048780487805","4.878048780487805","4.878048780487805"
"505","","","","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"510","","","","90.2439024390244","90.2439024390244","90.2439024390244","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"515","","","","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"520","","","","95.1219512195122","95.1219512195122","95.1219512195122","92.6829268292683","92.6829268292683","92.6829268292683","4.878048780487805","4.878048780487805","4.878048780487805"
"525","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","7.317073170731708","7.317073170731708","7.317073170731708"
"530","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","12.195121951219512","12.195121951219512","12.195121951219512"
"535","","","","","","","78.04878048780488","78.04878048780488","78.04878048780488","14.634146341463415","14.634146341463415","14.634146341463415"
"540","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"545","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","24.390243902439025","24.390243902439025","24.390243902439025"
"550","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"555","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","9.75609756097561","9.75609756097561","9.75609756097561"
"560","","","","","","","97.5609756097561","97.5609756097561","97.5609756097561","12.195121951219512","12.195121951219512","12.195121951219512"
"565","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"570","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","21.951219512195124","21.951219512195124","21.951219512195124"
"575","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"580","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","26.829268292682926","26.829268292682926","26.829268292682926"
"585","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"590","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","7.317073170731708","7.317073170731708","7.317073170731708"
"595","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","26.829268292682926","26.829268292682926","26.829268292682926"
"600","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"605","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"610","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","9.75609756097561","9.75609756097561","9.75609756097561"
"615","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","19.51219512195122","19.51219512195122","19.51219512195122"
"620","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","21.951219512195124","21.951219512195124","21.951219512195124"
"625","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","21.951219512195124","21.951219512195124","21.951219512195124"
"630","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","21.951219512195124","21.951219512195124","21.951219512195124"
"635","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"640","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"645","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"650","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"655","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"660","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","4.878048780487805","4.878048780487805","4.878048780487805"
"665","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"670","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"675","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","19.51219512195122","19.51219512195122","19.51219512195122"
"680","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","26.829268292682926","26.829268292682926","26.829268292682926"
"685","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"690","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","21.951219512195124","21.951219512195124","21.951219512195124"
"695","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","12.195121951219512","12.195121951219512","12.195121951219512"
"700","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"705","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"710","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"715","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","9.75609756097561","9.75609756097561","9.75609756097561"
"720","","","","","","","80.48780487804878","80.48780487804878","80.48780487804878","17.073170731707318","17.073170731707318","17.073170731707318"
"725","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","19.51219512195122","19.51219512195122","19.51219512195122"
"730","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","17.073170731707318","17.073170731707318","17.073170731707318"
"735","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","14.634146341463415","14.634146341463415","14.634146341463415"
"740","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","14.634146341463415","14.634146341463415","14.634146341463415"
"745","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","14.634146341463415","14.634146341463415","14.634146341463415"
"750","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","17.073170731707318","17.073170731707318","17.073170731707318"
"755","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"760","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","31.70731707317073","31.70731707317073","31.70731707317073"
"765","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"770","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"775","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","12.195121951219512","12.195121951219512","12.195121951219512"
"780","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
