"Step","lmax2_ns8_nv2 - valinf_rmsds_lt5","lmax2_ns8_nv2 - valinf_rmsds_lt5__MIN","lmax2_ns8_nv2 - valinf_rmsds_lt5__MAX","lmax3_ns8_nv2 - valinf_rmsds_lt5","lmax3_ns8_nv2 - valinf_rmsds_lt5__MIN","lmax3_ns8_nv2 - valinf_rmsds_lt5__MAX"
"5","85.36585365853658","85.36585365853658","85.36585365853658","82.92682926829268","82.92682926829268","82.92682926829268"
"10","78.04878048780488","78.04878048780488","78.04878048780488","87.8048780487805","87.8048780487805","87.8048780487805"
"15","90.2439024390244","90.2439024390244","90.2439024390244","85.36585365853658","85.36585365853658","85.36585365853658"
"20","80.48780487804878","80.48780487804878","80.48780487804878","82.92682926829268","82.92682926829268","82.92682926829268"
"25","87.8048780487805","87.8048780487805","87.8048780487805","78.04878048780488","78.04878048780488","78.04878048780488"
"30","82.92682926829268","82.92682926829268","82.92682926829268","87.8048780487805","87.8048780487805","87.8048780487805"
"35","85.36585365853658","85.36585365853658","85.36585365853658","87.8048780487805","87.8048780487805","87.8048780487805"
"40","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878"
"45","85.36585365853658","85.36585365853658","85.36585365853658","80.48780487804878","80.48780487804878","80.48780487804878"
"50","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244"
"55","90.2439024390244","90.2439024390244","90.2439024390244","87.8048780487805","87.8048780487805","87.8048780487805"
"60","80.48780487804878","80.48780487804878","80.48780487804878","85.36585365853658","85.36585365853658","85.36585365853658"
"65","82.92682926829268","82.92682926829268","82.92682926829268","87.8048780487805","87.8048780487805","87.8048780487805"
"70","80.48780487804878","80.48780487804878","80.48780487804878","87.8048780487805","87.8048780487805","87.8048780487805"
"75","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878","80.48780487804878"
"80","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658"
"85","85.36585365853658","85.36585365853658","85.36585365853658","92.6829268292683","92.6829268292683","92.6829268292683"
"90","85.36585365853658","85.36585365853658","85.36585365853658","82.92682926829268","82.92682926829268","82.92682926829268"
"95","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658"
"100","92.6829268292683","92.6829268292683","92.6829268292683","85.36585365853658","85.36585365853658","85.36585365853658"
"105","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244"
"110","80.48780487804878","80.48780487804878","80.48780487804878","78.04878048780488","78.04878048780488","78.04878048780488"
"115","87.8048780487805","87.8048780487805","87.8048780487805","78.04878048780488","78.04878048780488","78.04878048780488"
"120","73.17073170731707","73.17073170731707","73.17073170731707","80.48780487804878","80.48780487804878","80.48780487804878"
"125","80.48780487804878","80.48780487804878","80.48780487804878","70.73170731707317","70.73170731707317","70.73170731707317"
"130","80.48780487804878","80.48780487804878","80.48780487804878","82.92682926829268","82.92682926829268","82.92682926829268"
"135","87.8048780487805","87.8048780487805","87.8048780487805","85.36585365853658","85.36585365853658","85.36585365853658"
"140","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683"
"145","82.92682926829268","82.92682926829268","82.92682926829268","73.17073170731707","73.17073170731707","73.17073170731707"
"150","87.8048780487805","87.8048780487805","87.8048780487805","73.17073170731707","73.17073170731707","73.17073170731707"
"155","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805"
"160","90.2439024390244","90.2439024390244","90.2439024390244","78.04878048780488","78.04878048780488","78.04878048780488"
"165","85.36585365853658","85.36585365853658","85.36585365853658","80.48780487804878","80.48780487804878","80.48780487804878"
"170","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244"
"175","87.8048780487805","87.8048780487805","87.8048780487805","75.60975609756098","75.60975609756098","75.60975609756098"
"180","87.8048780487805","87.8048780487805","87.8048780487805","78.04878048780488","78.04878048780488","78.04878048780488"
"185","70.73170731707317","70.73170731707317","70.73170731707317","87.8048780487805","87.8048780487805","87.8048780487805"
"190","87.8048780487805","87.8048780487805","87.8048780487805","73.17073170731707","73.17073170731707","73.17073170731707"
"195","85.36585365853658","85.36585365853658","85.36585365853658","82.92682926829268","82.92682926829268","82.92682926829268"
"200","85.36585365853658","85.36585365853658","85.36585365853658","70.73170731707317","70.73170731707317","70.73170731707317"
"205","82.92682926829268","82.92682926829268","82.92682926829268","80.48780487804878","80.48780487804878","80.48780487804878"
"210","87.8048780487805","87.8048780487805","87.8048780487805","75.60975609756098","75.60975609756098","75.60975609756098"
"215","75.60975609756098","75.60975609756098","75.60975609756098","82.92682926829268","82.92682926829268","82.92682926829268"
"220","90.2439024390244","90.2439024390244","90.2439024390244","85.36585365853658","85.36585365853658","85.36585365853658"
"225","80.48780487804878","80.48780487804878","80.48780487804878","78.04878048780488","78.04878048780488","78.04878048780488"
"230","87.8048780487805","87.8048780487805","87.8048780487805","75.60975609756098","75.60975609756098","75.60975609756098"
"235","85.36585365853658","85.36585365853658","85.36585365853658","78.04878048780488","78.04878048780488","78.04878048780488"
"240","85.36585365853658","85.36585365853658","85.36585365853658","82.92682926829268","82.92682926829268","82.92682926829268"
"245","87.8048780487805","87.8048780487805","87.8048780487805","82.92682926829268","82.92682926829268","82.92682926829268"
"250","85.36585365853658","85.36585365853658","85.36585365853658","87.8048780487805","87.8048780487805","87.8048780487805"
"255","87.8048780487805","87.8048780487805","87.8048780487805","80.48780487804878","80.48780487804878","80.48780487804878"
"260","78.04878048780488","78.04878048780488","78.04878048780488","85.36585365853658","85.36585365853658","85.36585365853658"
"265","82.92682926829268","82.92682926829268","82.92682926829268","78.04878048780488","78.04878048780488","78.04878048780488"
