"Step","lmax2_ns8_nv2 - valinf_rmsds_lt2","lmax2_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax2_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax3_ns8_nv2 - valinf_rmsds_lt2","lmax3_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax3_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_odd - valinf_rmsds_lt2","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2 - valinf_rmsds_lt2","lmax1_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax0_ns8_nv2 - valinf_rmsds_lt2","lmax0_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax0_ns8_nv2 - valinf_rmsds_lt2__MAX"
"105","25.609756097560975","21.951219512195124","29.26829268292683","14.634146341463413","2.4390243902439024","26.829268292682926","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","12.195121951219512","12.195121951219512","12.195121951219512","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"110","14.634146341463413","9.75609756097561","19.51219512195122","19.51219512195122","12.195121951219512","26.829268292682926","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"115","13.414634146341463","7.317073170731708","19.51219512195122","19.51219512195122","14.634146341463415","24.390243902439025","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"120","15.853658536585366","4.878048780487805","26.829268292682926","19.51219512195122","14.634146341463415","24.390243902439025","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"125","14.634146341463415","7.317073170731708","21.951219512195124","9.75609756097561","4.878048780487805","14.634146341463415","4.878048780487805","4.878048780487805","4.878048780487805","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"130","18.29268292682927","12.195121951219512","24.390243902439025","20.73170731707317","4.878048780487805","36.58536585365854","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","2.4390243902439024","2.4390243902439024","2.4390243902439024","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"135","13.414634146341463","12.195121951219512","14.634146341463415","20.73170731707317","14.634146341463415","26.829268292682926","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"140","10.975609756097562","4.878048780487805","17.073170731707318","19.51219512195122","12.195121951219512","26.829268292682926","9.75609756097561","9.75609756097561","9.75609756097561","4.878048780487805","4.878048780487805","4.878048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"145","15.853658536585366","12.195121951219512","19.51219512195122","18.29268292682927","12.195121951219512","24.390243902439025","4.878048780487805","4.878048780487805","4.878048780487805","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"150","18.29268292682927","7.317073170731708","29.26829268292683","10.975609756097562","9.75609756097561","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","24.390243902439025","24.390243902439025","24.390243902439025","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"155","14.634146341463413","9.75609756097561","19.51219512195122","23.170731707317074","19.51219512195122","26.829268292682926","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"160","13.414634146341463","9.75609756097561","17.073170731707318","24.390243902439025","21.951219512195124","26.829268292682926","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"165","23.170731707317074","21.951219512195124","24.390243902439025","23.170731707317074","21.951219512195124","24.390243902439025","12.195121951219512","12.195121951219512","12.195121951219512","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"170","18.29268292682927","14.634146341463415","21.951219512195124","19.51219512195122","12.195121951219512","26.829268292682926","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"175","19.51219512195122","12.195121951219512","26.829268292682926","18.29268292682927","14.634146341463415","21.951219512195124","12.195121951219512","12.195121951219512","12.195121951219512","4.878048780487805","4.878048780487805","4.878048780487805","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"180","20.731707317073173","17.073170731707318","24.390243902439025","20.73170731707317","14.634146341463415","26.829268292682926","7.317073170731708","7.317073170731708","7.317073170731708","21.951219512195124","21.951219512195124","21.951219512195124","4.878048780487805","4.878048780487805","4.878048780487805","21.951219512195124","21.951219512195124","21.951219512195124","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"185","21.951219512195124","19.51219512195122","24.390243902439025","23.170731707317074","14.634146341463415","31.70731707317073","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"190","24.390243902439025","19.51219512195122","29.26829268292683","13.414634146341463","9.75609756097561","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","4.878048780487805","4.878048780487805","4.878048780487805","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"195","15.853658536585366","7.317073170731708","24.390243902439025","18.29268292682927","14.634146341463415","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","4.878048780487805","4.878048780487805","4.878048780487805","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"200","20.73170731707317","14.634146341463415","26.829268292682926","20.731707317073173","19.51219512195122","21.951219512195124","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"205","28.048780487804876","24.390243902439025","31.70731707317073","20.731707317073173","19.51219512195122","21.951219512195124","4.878048780487805","4.878048780487805","4.878048780487805","7.317073170731708","7.317073170731708","7.317073170731708","4.878048780487805","4.878048780487805","4.878048780487805","21.951219512195124","21.951219512195124","21.951219512195124","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"210","26.829268292682926","21.951219512195124","31.70731707317073","10.975609756097562","9.75609756097561","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"215","18.29268292682927","12.195121951219512","24.390243902439025","24.390243902439025","21.951219512195124","26.829268292682926","12.195121951219512","12.195121951219512","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"220","19.512195121951223","17.073170731707318","21.951219512195124","28.048780487804876","26.829268292682926","29.26829268292683","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","24.390243902439025","24.390243902439025","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"225","21.951219512195124","17.073170731707318","26.829268292682926","23.170731707317074","19.51219512195122","26.829268292682926","9.75609756097561","9.75609756097561","9.75609756097561","19.51219512195122","19.51219512195122","19.51219512195122","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"230","26.829268292682926","21.951219512195124","31.70731707317073","13.414634146341463","12.195121951219512","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"235","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","19.51219512195122","7.317073170731708","7.317073170731708","7.317073170731708","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"240","20.73170731707317","14.634146341463415","26.829268292682926","18.29268292682927","17.073170731707318","19.51219512195122","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","21.951219512195124","21.951219512195124","21.951219512195124","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"245","20.731707317073173","19.51219512195122","21.951219512195124","13.414634146341463","12.195121951219512","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","7.317073170731708","7.317073170731708","7.317073170731708","17.073170731707318","17.073170731707318","17.073170731707318","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"250","20.731707317073173","17.073170731707318","24.390243902439025","23.170731707317074","21.951219512195124","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415","4.878048780487805","4.878048780487805","4.878048780487805","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"255","25.609756097560975","21.951219512195124","29.26829268292683","25.609756097560975","19.51219512195122","31.70731707317073","14.634146341463415","14.634146341463415","14.634146341463415","12.195121951219512","12.195121951219512","12.195121951219512","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"260","21.951219512195124","21.951219512195124","21.951219512195124","26.829268292682926","19.51219512195122","34.146341463414636","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","12.195121951219512","12.195121951219512","12.195121951219512","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"265","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","14.634146341463415","19.51219512195122","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"270","26.829268292682926","17.073170731707318","36.58536585365854","18.29268292682927","14.634146341463415","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415","7.317073170731708","7.317073170731708","7.317073170731708","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"275","21.951219512195124","19.51219512195122","24.390243902439025","30.48780487804878","29.26829268292683","31.70731707317073","9.75609756097561","9.75609756097561","9.75609756097561","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"280","26.829268292682926","19.51219512195122","34.146341463414636","28.048780487804876","24.390243902439025","31.70731707317073","9.75609756097561","9.75609756097561","9.75609756097561","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","19.51219512195122","19.51219512195122","19.51219512195122","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
