"Step","lmax2_ns8_nv2 - valinf_rmsds_lt2","lmax2_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax2_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax3_ns8_nv2 - valinf_rmsds_lt2","lmax3_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax3_ns8_nv2 - valinf_rmsds_lt2__MAX"
"5","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318"
"10","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683"
"15","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122"
"20","19.51219512195122","19.51219512195122","19.51219512195122","26.829268292682926","26.829268292682926","26.829268292682926"
"25","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124"
"30","14.634146341463415","14.634146341463415","14.634146341463415","29.26829268292683","29.26829268292683","29.26829268292683"
"35","21.951219512195124","21.951219512195124","21.951219512195124","24.390243902439025","24.390243902439025","24.390243902439025"
"40","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124"
"45","21.951219512195124","21.951219512195124","21.951219512195124","24.390243902439025","24.390243902439025","24.390243902439025"
"50","17.073170731707318","17.073170731707318","17.073170731707318","21.951219512195124","21.951219512195124","21.951219512195124"
"55","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073"
"60","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124"
"65","17.073170731707318","17.073170731707318","17.073170731707318","29.26829268292683","29.26829268292683","29.26829268292683"
"70","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122"
"75","14.634146341463415","14.634146341463415","14.634146341463415","17.073170731707318","17.073170731707318","17.073170731707318"
"80","29.26829268292683","29.26829268292683","29.26829268292683","26.829268292682926","26.829268292682926","26.829268292682926"
"85","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318"
"90","34.146341463414636","34.146341463414636","34.146341463414636","17.073170731707318","17.073170731707318","17.073170731707318"
"95","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122"
"100","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025"
"105","29.26829268292683","29.26829268292683","29.26829268292683","26.829268292682926","26.829268292682926","26.829268292682926"
"110","19.51219512195122","19.51219512195122","19.51219512195122","26.829268292682926","26.829268292682926","26.829268292682926"
"115","19.51219512195122","19.51219512195122","19.51219512195122","24.390243902439025","24.390243902439025","24.390243902439025"
"120","26.829268292682926","26.829268292682926","26.829268292682926","24.390243902439025","24.390243902439025","24.390243902439025"
"125","21.951219512195124","21.951219512195124","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415"
"130","12.195121951219512","12.195121951219512","12.195121951219512","36.58536585365854","36.58536585365854","36.58536585365854"
"135","14.634146341463415","14.634146341463415","14.634146341463415","26.829268292682926","26.829268292682926","26.829268292682926"
"140","17.073170731707318","17.073170731707318","17.073170731707318","26.829268292682926","26.829268292682926","26.829268292682926"
"145","19.51219512195122","19.51219512195122","19.51219512195122","24.390243902439025","24.390243902439025","24.390243902439025"
"150","29.26829268292683","29.26829268292683","29.26829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"155","19.51219512195122","19.51219512195122","19.51219512195122","26.829268292682926","26.829268292682926","26.829268292682926"
"160","17.073170731707318","17.073170731707318","17.073170731707318","26.829268292682926","26.829268292682926","26.829268292682926"
"165","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025"
"170","21.951219512195124","21.951219512195124","21.951219512195124","12.195121951219512","12.195121951219512","12.195121951219512"
"175","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124"
"180","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926"
"185","24.390243902439025","24.390243902439025","24.390243902439025","31.70731707317073","31.70731707317073","31.70731707317073"
"190","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"195","24.390243902439025","24.390243902439025","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124"
"200","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122"
"205","31.70731707317073","31.70731707317073","31.70731707317073","19.51219512195122","19.51219512195122","19.51219512195122"
"210","31.70731707317073","31.70731707317073","31.70731707317073","9.75609756097561","9.75609756097561","9.75609756097561"
"215","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926"
"220","17.073170731707318","17.073170731707318","17.073170731707318","29.26829268292683","29.26829268292683","29.26829268292683"
"225","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926"
"230","31.70731707317073","31.70731707317073","31.70731707317073","14.634146341463415","14.634146341463415","14.634146341463415"
"235","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415"
"240","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122"
"245","21.951219512195124","21.951219512195124","21.951219512195124","14.634146341463415","14.634146341463415","14.634146341463415"
"250","24.390243902439025","24.390243902439025","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124"
"255","29.26829268292683","29.26829268292683","29.26829268292683","31.70731707317073","31.70731707317073","31.70731707317073"
"260","21.951219512195124","21.951219512195124","21.951219512195124","34.146341463414636","34.146341463414636","34.146341463414636"
"265","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415","14.634146341463415"
"270","36.58536585365854","36.58536585365854","36.58536585365854","21.951219512195124","21.951219512195124","21.951219512195124"
"275","19.51219512195122","19.51219512195122","19.51219512195122","31.70731707317073","31.70731707317073","31.70731707317073"
"280","34.146341463414636","34.146341463414636","34.146341463414636","31.70731707317073","31.70731707317073","31.70731707317073"
"285","17.073170731707318","17.073170731707318","17.073170731707318","24.390243902439025","24.390243902439025","24.390243902439025"
"290","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124"
"295","34.146341463414636","34.146341463414636","34.146341463414636","17.073170731707318","17.073170731707318","17.073170731707318"
"300","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"305","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"310","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"315","31.70731707317073","31.70731707317073","31.70731707317073","","",""
"320","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"325","21.951219512195124","21.951219512195124","21.951219512195124","","",""
"330","31.70731707317073","31.70731707317073","31.70731707317073","","",""
"335","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"340","19.51219512195122","19.51219512195122","19.51219512195122","","",""
"345","24.390243902439025","24.390243902439025","24.390243902439025","","",""
"350","26.829268292682926","26.829268292682926","26.829268292682926","","",""
"355","21.951219512195124","21.951219512195124","21.951219512195124","","",""
"360","17.073170731707318","17.073170731707318","17.073170731707318","","",""
